date,rank,code,score,true_open_return
2025-01-10,1,600233.SH,0.7528650406793437,0.07246376574039459
2025-01-10,2,002051.SZ,0.7160476903162243,-0.13458950817584991
2025-01-10,3,000039.SZ,0.7154655656274327,0.0
2025-01-10,4,601598.SH,0.713405040157215,-0.19607843458652496
2025-01-10,5,002524.SZ,0.705897448935343,0.0
2025-01-10,6,601368.SH,0.6946451290193166,0.22026431560516357
2025-01-10,7,601988.SH,0.6944411822893662,0.18315018713474274
2025-01-10,8,601200.SH,0.6886499561593413,-0.1310615986585617
2025-01-10,9,600992.SH,0.6877942897368405,0.0
2025-01-10,10,002443.SZ,0.6862895257707011,0.0
2025-01-10,11,605222.SH,0.6857063576874625,0.0
2025-01-10,12,600151.SH,0.6848444619265612,0.0
2025-01-10,13,600658.SH,0.684104264544734,-0.2375296950340271
2025-01-10,14,002012.SZ,0.6812227052997576,0.8888888955116272
2025-01-10,15,002767.SZ,0.6755975663936427,-0.3968254029750824
2025-01-10,16,601018.SH,0.6735879388288489,0.0
2025-01-10,17,603927.SH,0.6722068817294353,-0.09940357506275177
2025-01-10,18,603226.SH,0.6718762039482942,0.2109704613685608
2025-01-10,19,000707.SZ,0.6708012662529065,0.0
2025-01-10,20,000650.SZ,0.670506221676644,0.18018017709255219
2025-01-13,1,600098.SH,0.7575671709735452,-0.3350083827972412
2025-01-13,2,000922.SZ,0.7445682966126504,-0.5853658318519592
2025-01-13,3,600016.SH,0.7336475820744714,-0.251889169216156
2025-01-13,4,600179.SH,0.7258971704628606,-0.3861003816127777
2025-01-13,5,002010.SZ,0.7119565041796194,-0.48543688654899597
2025-01-13,6,002521.SZ,0.7108812118676691,-0.11148271709680557
2025-01-13,7,000883.SZ,0.7082866072551759,0.6465517282485962
2025-01-13,8,600302.SH,0.699757678570613,-0.449438214302063
2025-01-13,9,002343.SZ,0.6977567196150729,-0.8944543600082397
2025-01-13,10,000823.SZ,0.6958098101268729,-1.8848167657852173
2025-01-13,11,601398.SH,0.69551582680834,-0.14992503821849823
2025-01-13,12,000100.SZ,0.6949951701280059,-0.8385744094848633
2025-01-13,13,600180.SH,0.6928137744970503,-1.2658227682113647
2025-01-13,14,603023.SH,0.6922856526585559,0.0
2025-01-13,15,600207.SH,0.6915516245884111,0.0
2025-01-13,16,600734.SH,0.6899590443591265,-1.1494252681732178
2025-01-13,17,002849.SZ,0.6891537974862728,-2.40103816986084
2025-01-13,18,603329.SH,0.6885993670454188,-0.756302535533905
2025-01-13,19,002110.SZ,0.6879319375474156,-0.6734007000923157
2025-01-13,20,000838.SZ,0.6879108045909196,-1.2000000476837158
2025-01-14,1,002446.SZ,0.7342314784114298,0.32679739594459534
2025-01-14,2,001358.SZ,0.7067127880107081,0.0474158376455307
2025-01-14,3,002645.SZ,0.6975767644715778,0.0
2025-01-14,4,001228.SZ,0.6944921768285865,0.1538461595773697
2025-01-14,5,002238.SZ,0.6943529932387476,0.6934812664985657
2025-01-14,6,600276.SH,0.6942167067960638,0.0
2025-01-14,7,002094.SZ,0.6941357834275531,0.5917159914970398
2025-01-14,8,603222.SH,0.6912648133004977,0.0
2025-01-14,9,603197.SH,0.6894690809101109,0.3790087401866913
2025-01-14,10,000707.SZ,0.688665152950749,0.4360465109348297
2025-01-14,11,003033.SZ,0.6848507818368758,0.0
2025-01-14,12,600022.SH,0.6836427897853942,0.0
2025-01-14,13,600779.SH,0.6836220903038425,0.19642077386379242
2025-01-14,14,600308.SH,0.6829691738423892,0.5934718251228333
2025-01-14,15,002882.SZ,0.6826988071675453,0.9234828352928162
2025-01-14,16,601368.SH,0.6796010630911066,0.0
2025-01-14,17,002206.SZ,0.6795217416643216,0.24330900609493256
2025-01-14,18,000637.SZ,0.6794431215719322,0.28901734948158264
2025-01-14,19,601728.SH,0.6790534808498594,0.0
2025-01-14,20,603817.SH,0.6784786764746513,0.3780718445777893
2025-01-15,1,601169.SH,0.7061034251320674,0.0
2025-01-15,2,600867.SH,0.6859100251656637,0.3911342918872833
2025-01-15,3,002446.SZ,0.6726136138550092,-0.3086419701576233
2025-01-15,4,002521.SZ,0.6719715558284981,0.9677419066429138
2025-01-15,5,600488.SH,0.6666999062548497,0.0
2025-01-15,6,600302.SH,0.6634411704190248,0.8474576473236084
2025-01-15,7,002252.SZ,0.6595877684501222,-0.29154518246650696
2025-01-15,8,600510.SH,0.6570285351447926,0.0
2025-01-15,9,605169.SH,0.6549575550705159,0.10183299332857132
2025-01-15,10,603139.SH,0.6542082871839813,-0.34602075815200806
2025-01-15,11,001228.SZ,0.6541443163992491,0.049309663474559784
2025-01-15,12,600207.SH,0.6527105745201404,0.2386634796857834
2025-01-15,13,600301.SH,0.6511116060067886,0.22962112724781036
2025-01-15,14,000509.SZ,0.6465943069673156,0.31152647733688354
2025-01-15,15,000151.SZ,0.6462785278836627,0.0
2025-01-15,16,600151.SH,0.6460853335391976,-0.8810572624206543
2025-01-15,17,002206.SZ,0.6454551706535393,0.0
2025-01-15,18,603578.SH,0.6434526163022409,0.7627118825912476
2025-01-15,19,002343.SZ,0.6428837308826939,0.0
2025-01-15,20,002900.SZ,0.6420876938098949,0.41322314739227295
2025-01-16,1,600929.SH,0.7330074777997353,0.19120459258556366
2025-01-16,2,601166.SH,0.7282423254634154,1.0101009607315063
2025-01-16,3,601568.SH,0.696849660230299,0.25380709767341614
2025-01-16,4,600488.SH,0.6893339125251953,0.24570024013519287
2025-01-16,5,600399.SH,0.688699664898056,0.0
2025-01-16,6,601992.SH,0.6881385373632704,0.5847952961921692
2025-01-16,7,600925.SH,0.6802587640031432,0.39840638637542725
2025-01-16,8,603718.SH,0.6793016626055524,0.15267175436019897
2025-01-16,9,002091.SZ,0.6775697952465191,0.28169015049934387
2025-01-16,10,601169.SH,0.677452489768948,0.6655573844909668
2025-01-16,11,605003.SH,0.6755676377270651,0.0
2025-01-16,12,600033.SH,0.6751203670573722,0.2531645596027374
2025-01-16,13,601212.SH,0.6748980517731916,0.0
2025-01-16,14,600867.SH,0.6747198654832938,0.0
2025-01-16,15,603080.SH,0.6735949665967683,0.3236245810985565
2025-01-16,16,603909.SH,0.6657462528073019,0.0
2025-01-16,17,600459.SH,0.6645351691794594,0.36231884360313416
2025-01-16,18,600152.SH,0.6631850541847001,0.35026270151138306
2025-01-16,19,600510.SH,0.6620319996474827,0.22123894095420837
2025-01-16,20,002597.SZ,0.6604079211905713,0.47680971026420593
2025-01-17,1,605008.SH,0.7208754116588906,0.0
