date,rank,code,score,true_open_return
2025-01-10,1,002136.SZ,1598558962397.449,-0.21052631735801697
2025-01-10,2,000776.SZ,1579646976733.449,0.06535948067903519
2025-01-10,3,600006.SH,1529327911645.449,0.732064425945282
2025-01-10,4,600202.SH,1305197150941.449,3.846153736114502
2025-01-10,5,002572.SZ,1233211491037.449,0.0
2025-01-10,6,000830.SZ,1228291310301.449,-0.09009008854627609
2025-01-10,7,603291.SH,1147305067229.449,0.3799391984939575
2025-01-10,8,601059.SH,1069287277277.449,-0.21802325546741486
2025-01-10,9,002479.SZ,1068778193629.449,-0.4395604431629181
2025-01-10,10,002443.SZ,1026281243357.449,0.0
2025-01-10,11,603633.SH,1007689138909.449,1.9206146001815796
2025-01-10,12,000509.SZ,1000510653149.449,0.9375
2025-01-10,13,600869.SH,961311343325.449,-0.4545454680919647
2025-01-10,14,600985.SH,949721957085.449,-0.15060241520404816
2025-01-10,15,600917.SH,878351483613.449,-0.17574691772460938
2025-01-10,16,601988.SH,868889920221.449,0.18315018713474274
2025-01-10,17,002436.SZ,865824932573.449,-2.050326108932495
2025-01-10,18,600686.SH,845627654877.449,-1.2021037340164185
2025-01-10,19,600150.SH,839723909853.449,-0.7777445316314697
2025-01-10,20,600233.SH,816517939933.449,0.07246376574039459
2025-01-13,1,600098.SH,1851697136349.449,-0.3350083827972412
2025-01-13,2,601398.SH,1847659594461.449,-0.14992503821849823
2025-01-13,3,603169.SH,1397609857757.449,0.0
2025-01-13,4,001301.SZ,1336149279453.449,-1.1360050439834595
2025-01-13,5,002010.SZ,1324342313693.449,-0.48543688654899597
2025-01-13,6,001223.SZ,1310396777181.449,-0.2300613522529602
2025-01-13,7,600000.SH,1207705797341.449,-0.6910167932510376
2025-01-13,8,002331.SZ,1130776494813.449,0.14662756025791168
2025-01-13,9,601033.SH,1107184845533.449,0.9715994000434875
2025-01-13,10,000767.SZ,1055561286365.449,0.0
2025-01-13,11,000915.SZ,1036774343389.449,0.03871467337012291
2025-01-13,12,601857.SH,976098624221.449,1.7142857313156128
2025-01-13,13,600339.SH,963176170205.449,0.6024096608161926
2025-01-13,14,605369.SH,953910231773.449,0.07186489552259445
2025-01-13,15,002318.SZ,878536622813.449,-0.5689277648925781
2025-01-13,16,600368.SH,796607840989.449,-2.8446390628814697
2025-01-13,17,600592.SH,761234719453.449,-0.902708113193512
2025-01-13,18,600179.SH,742806979293.449,-0.3861003816127777
2025-01-13,19,601872.SH,731142882013.449,1.748807668685913
2025-01-13,20,603811.SH,709170037469.449,-2.4000000953674316
2025-01-14,1,002314.SZ,824565433053.449,0.4464285671710968
2025-01-14,2,002010.SZ,736189416157.449,-0.23923444747924805
2025-01-14,3,605369.SH,725467005661.449,0.0
2025-01-14,4,000100.SZ,723241272029.449,-0.41580042243003845
2025-01-14,5,002331.SZ,717821248221.449,0.283687949180603
2025-01-14,6,003816.SZ,716752618205.449,0.0
2025-01-14,7,603278.SH,708072964829.449,-0.4784688949584961
2025-01-14,8,601033.SH,707815342813.449,0.0
2025-01-14,9,601689.SH,700518040285.449,-1.261770248413086
2025-01-14,10,600233.SH,682636477149.449,0.9687034487724304
2025-01-14,11,002422.SZ,518954123997.4489,-0.2153625339269638
2025-01-14,12,600276.SH,470923969245.4489,0.0
2025-01-14,13,601288.SH,446762025693.4489,-0.19880715012550354
2025-01-14,14,000800.SZ,408864883421.4489,-0.2587321996688843
2025-01-14,15,002050.SZ,112485810909.44893,1.1538461446762085
2025-01-14,16,600688.SH,109944767197.44893,0.0
2025-01-14,17,000525.SZ,71747158749.44893,0.6525285243988037
2025-01-14,18,603067.SH,59749499613.44894,-0.17241379618644714
2025-01-14,19,600512.SH,53218530013.44894,0.460829496383667
2025-01-14,20,002094.SZ,52614779613.44894,0.5917159914970398
2025-01-15,1,002959.SZ,1414704005853.449,-0.4638218879699707
2025-01-15,2,002664.SZ,1274055361245.449,-1.5191545486450195
2025-01-15,3,603172.SH,1175495115485.449,0.0746268630027771
2025-01-15,4,601169.SH,1153119683293.449,0.0
2025-01-15,5,603169.SH,1139682837213.449,-0.18450184166431427
2025-01-15,6,000739.SZ,938613932765.449,0.0
2025-01-15,7,002292.SZ,937461285597.449,1.01694917678833
2025-01-15,8,601988.SH,920929829597.449,0.0
2025-01-15,9,000792.SZ,870741377757.449,0.24257124960422516
2025-01-15,10,002340.SZ,836402741981.449,-0.15432098507881165
2025-01-15,11,002225.SZ,832515670749.449,-0.6872852444648743
2025-01-15,12,603738.SH,829670621917.449,-1.0094212293624878
2025-01-15,13,002314.SZ,825528419037.449,0.0
2025-01-15,14,003009.SZ,734674158301.449,-0.026288118213415146
2025-01-15,15,003816.SZ,732283863773.449,0.0
2025-01-15,16,601033.SH,731857289949.449,-0.5747126340866089
2025-01-15,17,601689.SH,723070681821.449,-1.637930989265442
2025-01-15,18,002010.SZ,718831026909.449,-0.2298850566148758
2025-01-15,19,002331.SZ,717513949917.449,0.13717420399188995
2025-01-15,20,605369.SH,715797168861.449,-0.03478260710835457
2025-01-16,1,002959.SZ,1416350663389.449,0.7881538271903992
2025-01-16,2,002664.SZ,1277726294749.449,1.4295438528060913
2025-01-16,3,603172.SH,1176606343901.449,0.668647825717926
2025-01-16,4,603169.SH,1155398894301.449,-0.18832391500473022
2025-01-16,5,601169.SH,1144930829021.449,0.6655573844909668
2025-01-16,6,603690.SH,1031666205405.449,0.6683375239372253
2025-01-16,7,603728.SH,992565330653.449,0.9737098217010498
2025-01-16,8,000739.SZ,962956624605.449,0.13131976127624512
2025-01-16,9,002292.SZ,962941420253.449,-2.0
2025-01-16,10,601988.SH,935002440413.449,0.3669724762439728
2025-01-16,11,600115.SH,885849522909.449,1.0256410837173462
2025-01-16,12,002997.SZ,885831041757.449,0.026136957108974457
2025-01-16,13,000792.SZ,861659792093.449,0.18192844092845917
2025-01-16,14,603738.SH,850217730781.449,0.20562028884887695
2025-01-16,15,002340.SZ,845410271965.449,0.1555209904909134
2025-01-16,16,002225.SZ,821891498717.449,0.0
2025-01-16,17,002430.SZ,818241340125.449,0.800000011920929
2025-01-16,18,603358.SH,816998384349.449,1.8675721883773804
2025-01-16,19,605389.SH,748382388957.449,-4.183267116546631
2025-01-16,20,003009.SZ,747152212701.449,0.0
2025-01-17,1,000534.SZ,1802943595229.449,0.0
