date,rank,code,score,true_open_return
2025-01-10,1,002034.SZ,0.2382798597363986,0.0
2025-01-10,2,600116.SH,0.2328659214262533,0.0
2025-01-10,3,600511.SH,0.22932589333489053,0.06538084149360657
2025-01-10,4,603277.SH,0.209296135215932,-0.041152264922857285
2025-01-10,5,000932.SZ,0.20226280444439163,-0.2531645596027374
2025-01-10,6,603307.SH,0.19061396615341888,-0.02972651645541191
2025-01-10,7,603609.SH,0.19020078649596878,0.12722645699977875
2025-01-10,8,002867.SZ,0.17724862750889456,-0.2271006852388382
2025-01-10,9,002926.SZ,0.17385473055834164,-0.1303780972957611
2025-01-10,10,600971.SH,0.16966252906145177,0.0
2025-01-10,11,603163.SH,0.16956506038600747,-0.6562158465385437
2025-01-10,12,601811.SH,0.16657476982393743,0.5457025766372681
2025-01-10,13,601567.SH,0.16132693215220287,0.6642311811447144
2025-01-10,14,601326.SH,0.15913963112978705,0.0
2025-01-10,15,600596.SH,0.15596298278577075,0.1251564472913742
2025-01-10,16,002088.SZ,0.15227752664847136,-0.16433854401111603
2025-01-10,17,601006.SH,0.15077451544756745,-0.15600624680519104
2025-01-10,18,600487.SH,0.14028816925270138,0.06393861770629883
2025-01-10,19,600132.SH,0.14016286398117872,0.0
2025-01-10,20,600780.SH,0.13518610638542028,0.38314175605773926
2025-01-13,1,002014.SZ,0.6400603218171682,-0.6024096608161926
2025-01-13,2,600780.SH,0.5841340637657997,-0.38910505175590515
2025-01-13,3,002875.SZ,0.4437230613806968,-0.8576329350471497
2025-01-13,4,600655.SH,0.40194933485001155,-0.17211703956127167
2025-01-13,5,603605.SH,0.39078111950048733,-0.4723430573940277
2025-01-13,6,002701.SZ,0.3773905143186272,-0.8350730538368225
2025-01-13,7,000672.SZ,0.3365511651627644,-0.14265334606170654
2025-01-13,8,600312.SH,0.30191634218066976,-1.0582010746002197
2025-01-13,9,002034.SZ,0.28578648774143,-0.07117437571287155
2025-01-13,10,002572.SZ,0.272586258057877,-0.9377093315124512
2025-01-13,11,600396.SH,0.2677227925395351,-1.2244898080825806
2025-01-13,12,600163.SH,0.2586710533742233,0.0
2025-01-13,13,601019.SH,0.25582459623939635,-0.6930692791938782
2025-01-13,14,600028.SH,0.25042896547701843,0.476947546005249
2025-01-13,15,000990.SZ,0.24122071577833054,-0.2853066921234131
2025-01-13,16,601633.SH,0.2257708436239469,-0.7317073345184326
2025-01-13,17,002461.SZ,0.21375484762910785,-0.9771987199783325
2025-01-13,18,002818.SZ,0.21306519002856117,-0.7418397665023804
2025-01-13,19,600874.SH,0.2122437567491775,0.0
2025-01-13,20,000967.SZ,0.2055904290435233,-0.42283299565315247
2025-01-14,1,601369.SH,1.3273534221202508,0.2544529139995575
2025-01-14,2,600582.SH,1.0396634169400598,0.35211268067359924
2025-01-14,3,601801.SH,1.0206133444121888,0.9146341681480408
2025-01-14,4,603279.SH,0.9960535914496885,0.0
2025-01-14,5,600031.SH,0.9229587156864986,0.0
2025-01-14,6,600887.SH,0.891465488160878,-0.2108963131904602
2025-01-14,7,002241.SZ,0.8565892500593079,0.5860192775726318
2025-01-14,8,002310.SZ,0.8527319737848723,2.7322404384613037
2025-01-14,9,600737.SH,0.7715258929273539,0.0
2025-01-14,10,002138.SZ,0.7135846535407043,0.2366463840007782
2025-01-14,11,002984.SZ,0.713319197884657,0.0850701853632927
2025-01-14,12,601928.SH,0.6985970192139034,0.39024388790130615
2025-01-14,13,002223.SZ,0.6744705675301427,-0.2631579041481018
2025-01-14,14,603556.SH,0.6472258781390141,0.0
2025-01-14,15,002550.SZ,0.5714789032118277,-0.1727115660905838
2025-01-14,16,600908.SH,0.5701210174984273,0.0
2025-01-14,17,000623.SZ,0.5225618417598165,0.188916876912117
2025-01-14,18,600406.SH,0.5213139720034387,0.0
2025-01-14,19,000682.SZ,0.5212309499836983,0.5464481115341187
2025-01-14,20,601877.SH,0.49726304883839106,0.0
2025-01-15,1,002310.SZ,2.100025881883634,4.166666507720947
2025-01-15,2,000070.SZ,1.7157700008873613,0.0
2025-01-15,3,002490.SZ,0.3071372594097146,1.7123287916183472
2025-01-15,4,600499.SH,0.2595332150460961,0.24813896417617798
2025-01-15,5,002142.SZ,0.24606911554110833,-0.1573564112186432
2025-01-15,6,603197.SH,0.24426317276350018,0.6871907711029053
2025-01-15,7,601006.SH,0.215528444758246,-0.158982515335083
2025-01-15,8,601166.SH,0.21313788701703057,0.1019887775182724
2025-01-15,9,600663.SH,0.19262727451270606,-0.3378378450870514
2025-01-15,10,603112.SH,0.17903790093039473,-0.08097165822982788
2025-01-15,11,002141.SZ,0.16406869404526653,0.0
2025-01-15,12,603693.SH,0.16378701819517522,0.10683760792016983
2025-01-15,13,002316.SZ,0.16309013340449344,0.949367105960846
2025-01-15,14,000151.SZ,0.1428342210275599,0.0
2025-01-15,15,601126.SH,0.13903451028184385,-0.31545740365982056
2025-01-15,16,600379.SH,0.12974644725858647,0.0
2025-01-15,17,600585.SH,0.12749952104391735,-0.2508361339569092
2025-01-15,18,603192.SH,0.12736040953220296,0.0
2025-01-15,19,002543.SZ,0.12216319763589871,0.808080792427063
2025-01-15,20,002980.SZ,0.11588815054765277,0.43205028772354126
2025-01-16,1,605319.SH,0.28699999309880697,-0.5441607236862183
2025-01-16,2,600373.SH,0.2707601745037392,0.2620087265968323
2025-01-16,3,002724.SZ,0.2612944352334819,0.6000000238418579
2025-01-16,4,603871.SH,0.24029885008984814,0.28818443417549133
2025-01-16,5,603790.SH,0.2254435830540918,-0.8223684430122375
2025-01-16,6,001239.SZ,0.21544080054287076,1.0563380718231201
