date,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,trade_rule,equity
2025-01-10,10,10,-0.0004889148250222206,-0.0018089148250222207,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9981910851749778
2025-01-13,10,10,-0.005538418926298618,-0.006858418926298618,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9913450725443512
2025-01-14,10,10,0.004865209549665452,0.0035452095496654517,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9948595985625494
2025-01-15,10,10,0.006181165382266045,0.004861165382266045,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9996957756032968
2025-01-16,10,10,0.000963829070329666,-0.00035617092967033404,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9993397130295126
2025-01-17,10,10,-0.003142909780144691,-0.004462909780144691,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9948797500505462
2025-01-20,10,10,0.005984307035803795,0.004664307035803795,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9995201746684858
2025-01-21,10,10,0.006375729724764824,0.005055729724764824,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0045734785260594
2025-01-22,10,10,-0.003925245396792889,-0.005245245396792889,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9993042441120803
2025-01-23,10,10,0.009207890033721924,0.007887890033721924,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0071866460998682
2025-01-24,10,10,0.005254332579672337,0.003934332579672337,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0111492533354298
2025-01-27,10,10,0.004493387497961521,0.0031733874979615207,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0143580217345376
2025-02-05,10,10,0.005310551181435585,0.003990551181435585,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.018405869336569
2025-02-06,10,10,0.0010316650271415709,-0.00028833497285842913,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0181122273078749
2025-02-07,10,10,5.7340495288371944e-05,-0.0012626595047116281,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0168266982272014
2025-02-10,10,10,-3.641773015260683e-05,-0.0013564177301526067,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0154474564652336
2025-02-11,10,10,0.0037664547711610797,0.0024464547711610797,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0179317027399664
2025-02-12,10,10,0.0009281215220689774,-0.0003918784779310226,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.017532797213659
2025-02-13,10,10,0.002287995107471943,0.0009679951074719429,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.018517763983054
2025-02-14,10,10,-0.0004553230442106724,-0.0017753230442106723,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.016709565925717
2025-02-17,10,10,0.005791319601237774,0.004471319601237774,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0212555993366066
2025-02-18,10,10,0.0078074756637215624,0.0064874756637215624,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0278809701837424
2025-02-19,10,10,0.001831404961645603,0.000511404961645603,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0284066336118756
2025-02-20,10,10,0.0074781846553087245,0.0061581846553087245,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.034739751562402
2025-02-21,10,10,0.0038637884557247157,0.0025437884557247157,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0373719105971058
2025-02-24,10,10,0.0027314564883708955,0.0014114564883708955,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0388361159111719
2025-02-25,10,10,-0.006402703732252121,-0.007722703732252121,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0308134923616263
2025-02-26,10,10,0.004145620912313461,0.002825620912313461,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0337261805223381
2025-02-27,10,10,0.009945612799376249,0.008625612799376249,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.042642702296102
