date,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,trade_rule,equity
2025-01-10,10,10,-0.0016643565222620963,-0.002984356522262096,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9970156434777379
2025-01-13,10,10,-0.007270852133631704,-0.008590852133631704,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9884504295097029
2025-01-14,10,10,0.002354894198477268,0.0010348941984772682,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9894733711246848
2025-01-15,10,10,-0.0024168862923979757,-0.0037368862923979757,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9857758216474362
2025-01-16,10,10,0.0033384326547384264,0.0020184326547384264,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9877655437561008
2025-01-17,10,10,-0.001907470401376486,-0.003227470401376486,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9845775597001284
2025-01-20,10,10,0.006248368792235851,0.004928368792235851,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9894299210188903
2025-01-21,10,10,0.002434755863621831,0.001114755863621831,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9905328938249889
2025-01-22,10,10,-0.0017366303000599145,-0.0030566303000599147,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9875052009685175
2025-01-23,10,10,0.005810246765613557,0.004490246765613557,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.991939343003193
2025-01-24,10,10,-0.0020341283828020098,-0.0033541283828020098,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.988612251098808
2025-01-27,10,10,0.005895120084285735,0.004575120084285735,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9931352708643812
2025-02-05,10,10,0.005649778537452221,0.004329778537452221,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9974353266449567
2025-02-06,10,10,-0.0017747446671128272,-0.003094744667112827,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9943485189870324
2025-02-07,10,10,0.0004920014292001725,-0.0008279985707998275,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9935251998344341
2025-02-10,10,10,-4.627302289009079e-05,-0.0013662730228900907,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9921677731563389
2025-02-11,10,10,0.004561995662748813,0.0032419956627488134,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9953843767736308
2025-02-12,10,10,0.003192654550075531,0.0018726545500755312,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9972483878558701
