date,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,trade_rule,equity
2025-01-10,20,20,-0.002271502576768398,-0.003591502576768398,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9964084974232316
2025-01-13,20,20,-0.006813371371477842,-0.008133371371477842,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9883043370759922
2025-01-14,20,20,-1.817062869668008e-05,-0.00133817062869668,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9869818172399035
2025-01-15,20,20,0.001591064997017384,0.0002710649970173839,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9872493534632499
2025-01-16,20,20,0.0027524693179875616,0.0014324693179875616,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.988663557871289
2025-01-17,20,20,-0.0010700158104300496,-0.0023900158104300496,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9863006363367806
2025-01-20,20,20,0.0072644751146435736,0.0059444751146435736,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9921636759250416
2025-01-21,20,20,0.005225476883351803,0.003905476883351803,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9960385482258681
2025-01-22,20,20,-0.0036688361465930927,-0.004988836146593093,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9910694751130789
2025-01-23,20,20,0.006767144307494163,0.005447144307494163,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9964679735627723
2025-01-24,20,20,0.000661336649209261,-0.000658663350790739,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9958116366283497
2025-01-27,20,20,0.0013636999409645796,4.36999409645796e-05,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9958551535380822
2025-02-05,20,20,0.005663982156664132,0.004343982156664132,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0001811305556738
2025-02-06,20,20,0.00034569697082042713,-0.0009743030291795729,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9992066510504451
2025-02-07,20,20,-0.0002683615311980247,-0.0015883615311980247,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9976195496441994
2025-02-10,20,20,0.0005008515156805515,-0.0008191484843194485,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.996802351102181
2025-02-11,20,20,0.0028564266785979274,0.0015364266785979274,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9983338648277036
2025-02-12,20,20,9.507421962916874e-05,-0.0012249257803708313,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9971109799392589
2025-02-13,20,20,0.0013019192107021807,-1.808078929781934e-05,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9970929513857242
2025-02-14,20,20,-0.0006558065861463546,-0.0019758065861463546,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9951228885653761
2025-02-17,20,20,0.004080492697656155,0.002760492697656155,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9978699180325313
2025-02-18,20,20,0.0034778045313432807,0.0021578045313432807,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.000023126263353
2025-02-19,20,20,-0.0005017391294240953,-0.0018217391294240953,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.99820134500391
2025-02-20,20,20,0.0026138101816177367,0.0012938101816177367,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9994928280673806
2025-02-21,20,20,0.00013259877637028666,-0.0011874012236297133,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9983060290603243
2025-02-24,20,20,-0.0016168715395033356,-0.002936871539503336,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9953741324958625
2025-02-25,20,20,-0.00631849978864193,-0.00763849978864193,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9877709673951732
2025-02-26,20,20,0.0024886068357154725,0.0011686068357154725,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9889252832997926
2025-02-27,20,20,0.0030373480655252936,0.0017173480655252936,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9906236122220164
2025-02-28,20,20,-6.669091060757617e-05,-0.0013866909106075762,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9892499234631149
2025-03-03,20,20,0.0009121148400008678,-0.0004078851599991322,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9888464230998041
2025-03-04,20,20,-0.003130462002009153,-0.004450462002009153,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9844455996679757
2025-03-05,20,20,-0.00028039136156439773,-0.0016003913615643978,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.982870101434337
2025-03-06,20,20,0.004050151448696851,0.0027301514486968506,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9855534856656487
2025-03-07,20,20,0.0025730303826276214,0.0012530303826276215,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9867884141268924
2025-03-10,20,20,0.0009765162412077195,-0.00034348375879228053,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9864494683332755
2025-03-11,20,20,-0.005493675746023655,-0.006813675746023655,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9797281215162151
2025-03-12,20,20,0.004010419901460409,0.0026904199014604092,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9823640015523627
2025-03-13,20,20,0.007137073460966347,0.005817073460966347,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9880784851148017
2025-03-14,20,20,0.006826256101951003,0.005506256101951003,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9935190983026715
2025-03-17,20,20,0.009516727127134797,0.008196727127134797,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0016627032470555
2025-03-18,20,20,0.006637802857905625,0.005317802857905625,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0069893480330403
2025-03-19,20,20,0.0015965045168995855,0.00027650451689958553,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.007267785136241
2025-03-20,20,20,0.0021467032954096796,0.0008267032954096796,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0081004967335732
2025-03-21,20,20,7.243391126394271e-05,-0.0012475660887360572,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0068428247398102
2025-03-24,20,20,0.001889180615544319,0.0005691806155443189,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.007415900158552
2025-03-25,20,20,-0.0014970953315496444,-0.0028170953315496444,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0045779135292865
2025-03-26,20,20,-0.00028844045475125287,-0.0016084404547512528,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0029621097732164
2025-03-27,20,20,0.003551507391035556,0.002231507391035556,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0052002271341038
2025-03-28,20,20,-0.0021141880210489034,-0.0034341880210489034,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0017481805553243
