date,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,trade_rule,equity
2025-01-10,10,10,1.4148727059364258e-05,-0.0013058512729406358,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9986941487270594
2025-01-13,10,10,-0.00473744098097086,-0.00605744098097086,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9926446178631043
2025-01-14,10,10,0.002628311902284622,0.001308311902284622,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9939433066313933
2025-01-15,10,10,0.0013619589284062387,4.195892840623875e-05,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.993985011427436
2025-01-16,10,10,0.0037839338630437846,0.0024639338630437846,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9964341247564501
2025-01-17,10,10,-0.00314206838607788,-0.00446206838607788,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9919879675495652
2025-01-20,10,10,0.007108886003494264,0.005788886003494264,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9977304728105476
2025-01-21,10,10,0.002807275801897049,0.001487275801897049,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9992143731995741
2025-01-22,10,10,-0.0026963014081120484,-0.004016301408112048,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9952012271054869
2025-01-23,10,10,0.00715045826137066,0.00583045826137066,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0010037063217903
2025-01-24,10,10,-0.00027715471386909486,-0.0015971547138690948,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9994049485336379
2025-01-27,10,10,0.004111374512314797,0.0027913745123147966,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.002194662034456
2025-02-05,10,10,-0.00038084259629249503,-0.0017008425962924951,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.000490086663491
2025-02-06,10,10,-0.008579636693000794,-0.009899636693000794,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9905855982905736
2025-02-07,10,10,-0.0036457035467028615,-0.004965703546702862,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9856666438718292
2025-02-10,10,10,0.00156542295217514,0.0002454229521751401,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9859085490894288
2025-02-11,10,10,0.001899395026266575,0.000579395026266575,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9864797795991248
2025-02-12,10,10,7.70033150911337e-06,-0.0013122996684908866,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.985185222511384
2025-02-13,10,10,-0.0017041145712137224,-0.0030241145712137226,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9822059095246428
2025-02-14,10,10,0.00037210848927497834,-0.0009478915107250217,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9812748848812204
2025-02-17,10,10,0.0010602663308382034,-0.00025973366916179656,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9810200147549138
2025-02-18,10,10,-0.0008184524569660425,-0.0021384524569660426,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9789221500940283
2025-02-19,10,10,-0.0014932715818285942,-0.002813271581828594,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9761681762283462
2025-02-20,10,10,0.0006260657012462617,-0.0006939342987537383,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9754907796495095
2025-02-21,10,10,-0.00045430044084787376,-0.0017743004408478738,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9737599659291343
2025-02-24,10,10,0.008124585531651973,0.006804585531651973,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9803859989045974
2025-02-25,10,10,-0.004617344111204147,-0.005937344111204147,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9745651098672942
2025-02-26,10,10,0.0005301784835755823,-0.0007898215164244177,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9737953773743645
2025-02-27,10,10,-0.0016920292004942894,-0.0030120292004942894,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9708622772624066
2025-02-28,10,10,-0.0023796651959419246,-0.0036996651959419246,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9672704118851659
2025-03-03,10,10,0.0012526014819741248,-6.739851802587521e-05,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9672052192928746
2025-03-04,10,10,-0.0028301531672477722,-0.004150153167247772,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9631911694886477
2025-03-05,10,10,0.0020030691400170324,0.0006830691400170324,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9638490956524624
2025-03-06,10,10,0.0021088841930031778,0.0007888841930031778,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9646094609684631
2025-03-07,10,10,-0.002980812229216099,-0.004300812229216099,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9604608568023124
2025-03-10,10,10,-0.00018521932512521733,-0.0015052193251252172,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9590151525596272
2025-03-11,10,10,-0.004085131339728832,-0.005405131339728832,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9538315497032523
2025-03-12,10,10,-9.70186777412891e-05,-0.001417018677741289,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.952479952581904
2025-03-13,10,10,-0.0003446209132671356,-0.0016646209132671356,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9508944345333684
