Days,TradeDays,NoTradeDays,FinalEquity,TotalReturn,AnnReturn,AnnVol,Sharpe,MaxDrawdown,Calmar,WinRate,AvgDailyRet,StdDailyRet,AvgTradeDayRet,K,CommissionBpsOneWay,StampTaxBpsSell,TransferFeeBpsOneWay,SlippageBpsOneWay,AvgHold,TradeRule
205,205,0,0.6453744598662918,-0.3546255401337082,-0.41627587229105023,0.13388464138289619,-3.9483964324527916,-0.3684126820078917,-1.129917325378618,0.28292682926829266,-0.002097736668488601,0.00843393965405262,-0.002097736668488601,5,2.0,5.0,0.1,2.0,5.0,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining | KeepNoTradeDays
205,205,0,0.6425334109487089,-0.35746658905129114,-0.41943307012180076,0.12470502093129343,-4.291692882367944,-0.35991143331730224,-1.165378566206476,0.2780487804878049,-0.002123792265057564,0.007855677919650162,-0.002123792265057564,10,2.0,5.0,0.1,2.0,10.0,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining | KeepNoTradeDays
205,205,0,0.6304301160280259,-0.3695698839719741,-0.4328472301300119,0.1147774379395119,-4.877084885110904,-0.37205661686104374,-1.1633907596663144,0.22926829268292684,-0.0022213464595395617,0.007230298974026149,-0.0022213464595395617,20,2.0,5.0,0.1,2.0,20.0,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining | KeepNoTradeDays
