date,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,trade_rule,equity
2025-01-10,5,5,0.008866102650761605,0.007546102650761605,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0075461026507615
2025-01-13,5,5,-0.00421275070309639,-0.00553275070309639,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0019716012429185
2025-01-14,5,5,0.00015016329288482702,-0.001169836707115173,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0007994580842976
2025-01-15,5,5,-0.004185702830553055,-0.005505702830553055,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9952893536751068
2025-01-16,5,5,0.0067271579504013055,0.0054071579504013055,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0006710404167811
2025-01-17,5,5,-0.003787912726402282,-0.005107912726402282,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.995559700074494
2025-01-20,5,5,0.024454303145408633,0.02313430314540863,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0185912799753694
2025-01-21,5,5,0.005224243938922882,0.003904243938922882,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0225681088064529
2025-01-22,5,5,-0.0015017420016229155,-0.0028217420016229157,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0196826854243137
2025-01-23,5,5,0.007766568906605242,0.006446568906605242,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.026256140118774
