Days,TradeDays,NoTradeDays,FinalEquity,TotalReturn,AnnReturn,AnnVol,Sharpe,MaxDrawdown,Calmar,WinRate,AvgDailyRet,StdDailyRet,AvgTradeDayRet,K,CommissionBpsOneWay,StampTaxBpsSell,TransferFeeBpsOneWay,SlippageBpsOneWay,AvgHold,TradeRule
205,205,0,1.5640297611952192,0.5640297611952192,0.7329228777308237,0.13364552601075735,4.185231314268113,-0.09011416073299972,8.133270861771392,0.551219512195122,0.0022195930180098954,0.008418876801449478,0.0022195930180098954,5,2.0,5.0,0.1,2.0,5.0,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining | KeepNoTradeDays
205,205,0,1.1579616729340034,0.15796167293400343,0.19755989104775162,0.10903836552484258,1.7092224391564477,-0.09349487992539951,2.113055722444625,0.5121951219512195,0.0007395667504410191,0.006868771393897436,0.0007395667504410191,10,2.0,5.0,0.1,2.0,10.0,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining | KeepNoTradeDays
205,205,0,0.9524982448991454,-0.04750175510085464,-0.05807047172987867,0.096837349868536,-0.5681683670097644,-0.09413416756539839,-0.6168904791017368,0.47317073170731705,-0.00021833301170388376,0.006100179651778561,-0.00021833301170388376,20,2.0,5.0,0.1,2.0,20.0,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining | KeepNoTradeDays
