date,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,trade_rule,equity
2025-01-10,5,5,0.0025047493577003478,0.0011847493577003478,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0011847493577004
2025-01-13,5,5,-0.009907602965831758,-0.011227602965831758,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9899438444964663
2025-01-14,5,5,0.00954445290565491,0.00822445290565491,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,0.9980855910247706
2025-01-15,5,5,0.011757990598678589,0.010437990598678589,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0085035990405637
2025-01-16,5,5,0.0026131512224674227,0.0012931512224674227,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.009807746702526
2025-01-17,5,5,-0.0014164807125926016,-0.0027364807125926016,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.007044427280248
2025-01-20,5,5,0.0025113534331321716,0.0011913534331321717,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.008244173116005
2025-01-21,5,5,0.006800677865743637,0.005480677865743637,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.013770034638867
2025-01-22,5,5,0.00031922851502895374,-0.0010007714849710463,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0127554824958822
2025-01-23,5,5,0.0069596611857414255,0.0056396611857414255,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.018467080281161
2025-01-24,5,5,0.007502588212490081,0.006182588212490081,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0247638428465167
2025-01-27,5,5,0.0044343281090259545,0.0031143281090259545,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.027955293687407
2025-02-05,5,5,0.011171837612986565,0.009851837612986565,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0380825423142253
2025-02-06,5,5,0.00304275918006897,0.00172275918006897,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0398709085436666
2025-02-07,5,5,0.0017745749652385706,0.0004545749652385706,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0403436078257704
2025-02-10,5,5,-0.00732967448234558,-0.00864967448234558,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0313449742682885
2025-02-11,5,5,0.013540295481681824,0.012220295481681824,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0439483145973947
2025-02-12,5,5,0.005085673868656158,0.003765673868656158,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0478794834859018
2025-02-13,5,5,0.008523549884557724,0.007203549884557724,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.055427935618197
2025-02-14,5,5,0.00017477458715438833,-0.0011452254128456116,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0542192327249
2025-02-17,5,5,0.023849325537681577,0.022529325537681576,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.077970081007044
2025-02-18,5,5,0.014856304883956908,0.013536304883956908,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0925618126793393
2025-02-19,5,5,2.2953987121581905e-05,-0.001297046012878418,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.0911447097363804
2025-02-20,5,5,0.014549777701497079,0.013229777701497079,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1055803116863574
2025-02-21,5,5,0.006771801590919495,0.005451801590919495,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1116077161884983
2025-02-24,5,5,0.004737429797649384,0.0034174297976493836,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1154065575210979
2025-02-25,5,5,-0.006151309490203857,-0.007471309490203857,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1070730099224548
2025-02-26,5,5,0.01243641197681427,0.01111641197681427,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1193796895891648
2025-02-27,5,5,0.01691702365875244,0.015597023658752441,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.136838681090814
2025-02-28,5,5,0.01789797881245613,0.01657797881245613,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.155685168659118
2025-03-03,5,5,0.0003200564980506908,-0.0009999435019493093,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1545295487844183
2025-03-04,5,5,-0.007635794252157211,-0.008955794252157211,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1441898196874691
2025-03-05,5,5,0.0015548674464225768,0.0002348674464225768,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1444585526286417
2025-03-06,5,5,0.022079653382301327,0.020759653382301325,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1682171154916225
2025-03-07,5,5,0.019163595616817474,0.017843595616817476,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.1890623092931
2025-03-10,5,5,0.01619523638486862,0.014875236384868621,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.2067498922201727
2025-03-11,5,5,0.005840026259422301,0.004520026259422301,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.212204433421563
2025-03-12,5,5,0.02080503076314926,0.01948503076314926,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.235824274098008
2025-03-13,5,5,0.019588175535202028,0.018268175535202026,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.2584005288678943
2025-03-14,5,5,0.011076071523129939,0.009756071523129939,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.270677574432274
2025-03-17,5,5,0.015077684640884399,0.013757684640884399,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.2881591557815573
2025-03-18,5,5,0.0022583251446485516,0.0009383251446485517,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.2893678679077365
2025-03-19,5,5,0.0006181376427412032,-0.0007018623572587968,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.2884629091365931
2025-03-20,5,5,0.01057013839483261,0.00925013839483261,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.3003813693627153
2025-03-21,5,5,0.010011013090610504,0.008691013090610504,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.3116830008666327
2025-03-24,5,5,0.0002893050909042359,-0.0010306949090957641,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.3103310558752919
2025-03-25,5,5,0.011790599644184113,0.010470599644184113,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.324051007762703
2025-03-26,5,5,0.010980339735746383,0.009660339735746383,0.00041,0.00091,0.00132,1,Buy@Close(t) Sell@Open(t+1) | EqualWeightOnRemaining,1.3368417903251482
